"Centralt"; ; ;"0/-/-";"";"";"";"";"Auto"
 ;"Tidkanaler"; ;"0/1/-";"";"";"";"";"Auto"
 ; ;"Tidkanal 1 (yttre belysning) > T/F";"0/1/11";"true";"true";"";"DPST-1-1";"Auto"
 ; ;"Tidkanal 2 (fasadskyltar) > T/F";"0/1/21";"true";"true";"";"DPST-1-1";"Auto"
 ; ;"Tidkanal 3 (allmänbelysning) > Scen";"0/1/31";"true";"true";"";"";"Auto"
 ; ;"Tidkanal 4 (reserv) > T/F";"0/1/41";"true";"true";"";"DPST-1-1";"Auto"
 ;"Larm och Passér"; ;"0/2/-";"";"";"";"";"Auto"
 ; ;"Inbrottslarm_Tillkoppling Zon 10 > T/F";"0/2/1";"true";"true";"1=Tillkopplat, 0=Frånkopplat";"DPST-1-1";"Auto"
 ; ;"Inbrottslarm_Frånkoppling Zon 10 > T/F";"0/2/2";"true";"true";"1=Frånkopplat, 0=Tillkopplat";"DPST-1-1";"Auto"
 ; ;"Inbrottslarm_Tillkoppling Zon 3 > T/F";"0/2/3";"true";"true";"1=Tillkopplat, 0=Frånkopplat";"DPST-1-1";"Auto"
 ; ;"Inbrottslarm_Frånkoppling Zon 3 > T/F";"0/2/4";"true";"true";"1=Frånkopplat, 0=Tillkopplat";"DPST-1-1";"Auto"
 ; ;"Inbrottslarm_Tillkoppling Zon3&10 > T/F";"0/2/5";"true";"true";"1=3och10 Tillkopplat, 0=3eller10 Frånkopplat";"DPST-1-1";"Auto"
 ; ;"Inbrottslarm_Tillkoppling Zon 4 > Scen";"0/2/6";"true";"true";"9=Tillkoppling, 8=Frånkoppling";"DPST-18-1";"Auto"
 ; ;"Inbrottslarm_Tillkoppling Zon 5 > T/F";"0/2/7";"true";"true";"1=Tillkopplat, 0=Frånkopplat";"DPST-1-1";"Auto"
 ; ;"Inbrottslarm_Tillkoppling Zon 7 > T/F";"0/2/8";"true";"true";"1=Tillkopplat, 0=Frånkopplat";"DPST-1-1";"Auto"
 ; ;"Inbrottslarm_Tillkoppling Zon3&5&7&ejMeröppet > T/F";"0/2/9";"true";"true";"1=3och5och7 Tillkopplat och ej Meröppet, 0=3eller5eller7 Frånkopplat eller Meröppet";"DPST-1-1";"Auto"
 ; ;"Inbrottslarm_Tillkoppling Zon 17 > T/F";"0/2/10";"true";"true";"";"DPST-1-1";"Auto"
 ; ;"Brandlarm_Utlöst > T/F";"0/2/11";"true";"true";"1=Utlöst, 0=Återställt";"DPST-1-1";"Auto"
